year,loudness,energy,danceability,valence,tempo,acousticness,duration_ms,decade
2006,-9.763,0.5820000000000001,0.527,0.6809999999999999,75.51100000000002,0.867,177533,2000s
1998,-15.294,0.28,0.57,0.693,144.237,0.728,167133,1990s
2009,-15.716,0.17,0.0771,0.0856,73.64699999999998,0.965,314240,2000s
2010,-7.1229999999999976,0.648,0.606,0.54,79.268,0.0348,188453,2010s
1999,-14.052,0.34,0.78,0.61,104.191,0.361,421867,1990s
2009,-8.103,0.727,0.483,0.613,109.995,0.0125,205735,2000s
2019,-11.724,0.693,0.481,0.319,168.986,0.00159,165428,2010s
2012,-6.577999999999999,0.411,0.203,0.2269999999999999,99.693,0.7559999999999999,340173,2010s
2017,-22.525,0.0809,0.185,0.0391,136.12,0.985,164173,2010s
2008,-7.2879999999999985,0.693,0.413,0.7090000000000001,141.724,0.401,142427,2000s
2000,-28.788,0.0899,0.716,0.487,107.394,0.927,30893,2000s
2002,-22.118,0.192,0.516,0.48,75.029,0.6609999999999999,118587,2000s
2020,-17.016,0.172,0.6990000000000001,0.0378,82.421,0.901,211347,2020s
2002,-6.6110000000000015,0.434,0.5920000000000001,0.347,80.264,0.738,226000,2000s
2002,-32.037,0.0165,0.424,0.272,152.023,0.995,70733,2000s
2003,-8.966000000000003,0.426,0.618,0.44,118.837,0.541,163267,2000s
2019,-8.107999999999999,0.867,0.619,0.677,115.994,0.0879,293909,2010s
2005,-10.196,0.439,0.67,0.877,98.809,0.866,164973,2000s
2001,-13.978,0.1639999999999999,0.201,0.0532,77.711,0.6679999999999999,159133,2000s
2020,-26.438,0.023,0.296,0.103,124.019,0.989,95193,2020s
2019,-8.107000000000001,0.782,0.845,0.7609999999999999,150.245,0.00879,169126,2010s
2006,-6.525,0.777,0.622,0.374,140.062,0.151,221507,2000s
2012,-13.749,0.531,0.8440000000000001,0.899,120.433,0.0116,266573,2010s
2020,-13.72,0.487,0.7040000000000001,0.371,88.01799999999999,0.296,208159,2020s
2005,-13.413,0.19,0.863,0.961,106.043,0.755,133947,2000s
2010,-2.276,0.932,0.3,0.319,109.858,0.0179,75947,2010s
2005,-10.283,0.4970000000000001,0.7190000000000001,0.356,104.98,0.3829999999999999,272267,2000s
2003,-9.802,0.295,0.551,0.183,111.322,0.52,271280,2000s
1992,-22.866,0.151,0.21,0.258,81.85300000000002,0.987,140667,1990s
2006,-10.617,0.321,0.584,0.358,87.021,0.908,205000,2000s
1993,-22.474,0.106,0.531,0.0907,115.568,0.987,60840,1990s
2015,-5.472,0.84,0.762,0.865,127.982,0.00686,194800,2010s
2017,-7.761,0.995,0.66,0.515,129.981,0.0027,268889,2010s
2004,-9.773,0.612,0.754,0.941,126.05,0.357,171067,2000s
2005,-10.547,0.7040000000000001,0.622,0.146,116.013,0.0081599999999999,218120,2000s
2014,-6.178,0.8640000000000001,0.5539999999999999,0.8059999999999999,129.85399999999998,0.00382,175988,2010s
1992,-4.766,0.977,0.445,0.47,128.264,0.00274,228160,1990s
2010,-8.963,0.413,0.603,0.312,88.00200000000002,0.5720000000000001,224733,2010s
2010,-5.7570000000000014,0.8590000000000001,0.49,0.488,135.39,0.159,303000,2010s
1999,-14.564,0.184,0.4679999999999999,0.655,88.10799999999998,0.984,197000,1990s
2011,-19.059,0.0576,0.196,0.108,79.217,0.99,280720,2010s
2016,-7.065,0.7170000000000001,0.7959999999999999,0.762,120.003,0.35,376279,2010s
2007,-13.323,0.373,0.7979999999999999,0.8809999999999999,139.841,0.4529999999999999,223147,2000s
2012,-10.65,0.2689999999999999,0.0585,0.0282,68.793,0.933,289867,2010s
2003,-2.543,0.974,0.322,0.537,134.361,0.000741,209333,2000s
2004,-13.607,0.426,0.711,0.942,127.143,0.871,188067,2000s
2015,-8.096,0.6890000000000001,0.462,0.138,109.032,0.00627,271667,2010s
2012,-4.626,0.93,0.423,0.515,150.086,0.00014,221780,2010s
2001,-16.38,0.276,0.441,0.3879999999999999,76.23899999999998,0.473,227093,2000s
2010,-19.343,0.204,0.1119999999999999,0.0346,72.778,0.757,549453,2010s
1990,-12.142,0.335,0.325,0.29,113.014,0.991,195267,1990s
2017,-7.561,0.685,0.507,0.745,99.947,0.163,199308,2010s
2007,-3.427,0.982,0.477,0.248,173.985,0.000278,3353333,2000s
2009,-14.74,0.324,0.607,0.365,125.394,0.8859999999999999,280293,2000s
2002,-8.837,0.7240000000000001,0.528,0.961,137.931,0.3720000000000001,200467,2000s
2015,-19.564,0.127,0.0654,0.0644,71.053,0.8290000000000001,324213,2010s
2006,-6.017,0.568,0.482,0.146,153.892,0.47,222427,2000s
2018,-6.474,0.502,0.8759999999999999,0.27,135.97299999999998,0.000461,250320,2010s
2001,-11.271,0.484,0.713,0.217,158.436,0.918,121200,2000s
2019,-10.32,0.407,0.499,0.6729999999999999,127.73,0.86,245120,2010s
1999,-21.287,0.132,0.371,0.134,124.598,0.989,646893,1990s
2005,-60.0,0.0,0.0,0.0,0.0,0.0,60133,2000s
1996,-8.066,0.508,0.589,0.255,145.859,0.158,305800,1990s
2017,-11.656,0.722,0.575,0.6809999999999999,124.984,0.000416,251585,2010s
2015,-13.148,0.4379999999999999,0.421,0.146,119.973,0.381,226400,2010s
2020,-10.567,0.281,0.794,0.792,97.068,0.242,160000,2020s
2020,-7.3679999999999986,0.926,0.8,0.583,146.846,0.193,88627,2020s
2002,-15.622,0.127,0.552,0.4639999999999999,94.855,0.941,147880,2000s
2018,-3.53,0.962,0.256,0.193,121.323,0.00133,225422,2010s
2017,-7.385,0.857,0.299,0.506,80.087,4.59e-05,148257,2010s
2015,-4.927,0.602,0.5479999999999999,0.369,81.779,0.000664,288158,2010s
1999,-9.138,0.797,0.412,0.6759999999999999,87.29700000000004,0.152,228667,1990s
1993,-10.024,0.736,0.596,0.4429999999999999,88.01,0.0483,310373,1990s
2004,-16.184,0.14,0.583,0.352,108.905,0.85,260027,2000s
1995,-11.353,0.342,0.416,0.63,185.498,0.721,156960,1990s
2007,-3.535,0.903,0.6,0.648,135.972,0.175,345907,2000s
2018,-4.461,0.588,0.7090000000000001,0.195,143.971,0.0971,206813,2010s
2013,-4.862,0.835,0.474,0.599,149.733,0.000158,236320,2010s
2020,-7.089,0.679,0.532,0.395,100.829,0.0519,209268,2020s
2005,-20.845,0.0835,0.575,0.25,118.706,0.741,245395,2000s
2003,-7.1,0.828,0.3229999999999999,0.119,113.434,0.00955,400827,2000s
2003,-12.416,0.545,0.502,0.62,106.913,0.0393,251707,2000s
1998,-11.630999999999998,0.495,0.644,0.631,97.881,0.607,321973,1990s
2011,-6.916,0.915,0.266,0.0311,124.624,0.937,287547,2010s
2013,-4.032,0.955,0.34,0.4970000000000001,113.649,0.0004019999999999,255360,2010s
2016,-4.146,0.934,0.423,0.349,113.32,1.97e-06,241426,2010s
2011,-5.534,0.614,0.574,0.506,128.954,0.0564,198275,2010s
2018,-6.945,0.885,0.732,0.5579999999999999,132.981,0.025,231533,2010s
2013,-10.138,0.607,0.74,0.983,105.069,0.698,154720,2010s
2017,-13.366,0.354,0.607,0.355,93.65,0.675,186620,2010s
2019,-6.787999999999999,0.866,0.8079999999999999,0.951,87.9,0.0531,164598,2010s
2001,-6.431,0.843,0.335,0.741,183.137,0.0147,161160,2000s
2014,-11.550999999999998,0.349,0.336,0.499,188.347,0.948,74093,2010s
2016,-13.339,0.495,0.485,0.2339999999999999,104.497,0.77,334609,2010s
2012,-8.744,0.542,0.238,0.0343,159.851,0.0751,282672,2010s
1997,-8.752,0.53,0.473,0.64,98.351,0.0202,218093,1990s
1990,-15.534,0.677,0.977,0.871,110.156,0.12,259693,1990s
2013,-7.359,0.621,0.607,0.618,119.971,0.0118,245933,2010s
2015,-4.987,0.988,0.155,0.104,92.936,3.4e-05,220800,2010s
1982,-15.575,0.252,0.519,0.4679999999999999,93.134,0.638,231507,1980s
2013,-8.562000000000001,0.599,0.493,0.407,167.94299999999996,0.879,295547,2010s
2018,-6.353,0.916,0.309,0.287,148.106,0.113,292880,2010s
2005,-13.912,0.222,0.485,0.655,173.532,0.7979999999999999,125267,2000s
